source_type,source_code,nuts_code,nuts_label,source_url,source_version
kunta,005,FI199,Etelä-Pohjanmaa,https://data.stat.fi/api/classifications/v2/correspondenceTables/kunta_1_20260101%23nuts_2_20260101/maps,2026-08-23
kunta,009,FI1D9,Pohjois-Pohjanmaa,https://data.stat.fi/api/classifications/v2/correspondenceTables/kunta_1_20260101%23nuts_2_20260101/maps,2026-08-23
kunta,010,FI199,Etelä-Pohjanmaa,https://data.stat.fi/api/classifications/v2/correspondenceTables/kunta_1_20260101%23nuts_2_20260101/maps,2026-08-23
kunta,016,FI1C6,Päijät-Häme,https://data.stat.fi/api/classifications/v2/correspondenceTables/kunta_1_20260101%23nuts_2_20260101/maps,2026-08-23
kunta,018,FI1B1,Helsinki-Uusimaa,https://data.stat.fi/api/classifications/v2/correspondenceTables/kunta_1_20260101%23nuts_2_20260101/maps,2026-08-23
kunta,019,FI1C1,Varsinais-Suomi,https://data.stat.fi/api/classifications/v2/correspondenceTables/kunta_1_20260101%23nuts_2_20260101/maps,2026-08-23
kunta,020,FI19B,Pirkanmaa,https://data.stat.fi/api/classifications/v2/correspondenceTables/kunta_1_20260101%23nuts_2_20260101/maps,2026-08-23
kunta,035,FI200,Åland,https://data.stat.fi/api/classifications/v2/correspondenceTables/kunta_1_20260101%23nuts_2_20260101/maps,2026-08-23
kunta,043,FI200,Åland,https://data.stat.fi/api/classifications/v2/correspondenceTables/kunta_1_20260101%23nuts_2_20260101/maps,2026-08-23
kunta,046,FI1DA,Etelä-Savo,https://data.stat.fi/api/classifications/v2/correspondenceTables/kunta_1_20260101%23nuts_2_20260101/maps,2026-08-23
kunta,047,FI1D7,Lappi,https://data.stat.fi/api/classifications/v2/correspondenceTables/kunta_1_20260101%23nuts_2_20260101/maps,2026-08-23
kunta,049,FI1B1,Helsinki-Uusimaa,https://data.stat.fi/api/classifications/v2/correspondenceTables/kunta_1_20260101%23nuts_2_20260101/maps,2026-08-23
kunta,050,FI196,Satakunta,https://data.stat.fi/api/classifications/v2/correspondenceTables/kunta_1_20260101%23nuts_2_20260101/maps,2026-08-23
kunta,051,FI196,Satakunta,https://data.stat.fi/api/classifications/v2/correspondenceTables/kunta_1_20260101%23nuts_2_20260101/maps,2026-08-23
kunta,052,FI199,Etelä-Pohjanmaa,https://data.stat.fi/api/classifications/v2/correspondenceTables/kunta_1_20260101%23nuts_2_20260101/maps,2026-08-23
kunta,060,FI200,Åland,https://data.stat.fi/api/classifications/v2/correspondenceTables/kunta_1_20260101%23nuts_2_20260101/maps,2026-08-23
kunta,061,FI1C2,Kanta-Häme,https://data.stat.fi/api/classifications/v2/correspondenceTables/kunta_1_20260101%23nuts_2_20260101/maps,2026-08-23
kunta,062,FI200,Åland,https://data.stat.fi/api/classifications/v2/correspondenceTables/kunta_1_20260101%23nuts_2_20260101/maps,2026-08-23
kunta,065,FI200,Åland,https://data.stat.fi/api/classifications/v2/correspondenceTables/kunta_1_20260101%23nuts_2_20260101/maps,2026-08-23
kunta,069,FI1D9,Pohjois-Pohjanmaa,https://data.stat.fi/api/classifications/v2/correspondenceTables/kunta_1_20260101%23nuts_2_20260101/maps,2026-08-23
kunta,071,FI1D9,Pohjois-Pohjanmaa,https://data.stat.fi/api/classifications/v2/correspondenceTables/kunta_1_20260101%23nuts_2_20260101/maps,2026-08-23
kunta,072,FI1D9,Pohjois-Pohjanmaa,https://data.stat.fi/api/classifications/v2/correspondenceTables/kunta_1_20260101%23nuts_2_20260101/maps,2026-08-23
kunta,074,FI1D5,Keski-Pohjanmaa,https://data.stat.fi/api/classifications/v2/correspondenceTables/kunta_1_20260101%23nuts_2_20260101/maps,2026-08-23
kunta,075,FI1C7,Kymenlaakso,https://data.stat.fi/api/classifications/v2/correspondenceTables/kunta_1_20260101%23nuts_2_20260101/maps,2026-08-23
kunta,076,FI200,Åland,https://data.stat.fi/api/classifications/v2/correspondenceTables/kunta_1_20260101%23nuts_2_20260101/maps,2026-08-23
kunta,077,FI198,Keski-Suomi,https://data.stat.fi/api/classifications/v2/correspondenceTables/kunta_1_20260101%23nuts_2_20260101/maps,2026-08-23
kunta,078,FI1B1,Helsinki-Uusimaa,https://data.stat.fi/api/classifications/v2/correspondenceTables/kunta_1_20260101%23nuts_2_20260101/maps,2026-08-23
kunta,079,FI196,Satakunta,https://data.stat.fi/api/classifications/v2/correspondenceTables/kunta_1_20260101%23nuts_2_20260101/maps,2026-08-23
