source_concept_id,source_label,target_uri,target_label,relation,confidence,source_url,source_version
15e8_KDZ_31Z,SFI-lärare,http://data.europa.eu/esco/occupation/9711dcfc-d9a8-4fba-9c5e-8428d8bcb53e,"lärare, språkskola",close-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
17FS_XzU_AQ4,Skolvärd,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,"lärarassistent, grundskola",close-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
17FS_XzU_AQ4,Skolvärd,http://data.europa.eu/esco/occupation/4d27152a-a8ee-4f5a-9f93-a2fb4fb2b2e3,"lärarassistent, förskola",close-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
17FS_XzU_AQ4,Skolvärd,http://data.europa.eu/esco/occupation/79c2e54e-26e8-4cdc-a7f1-908e000bfb83,"lärarassistent, gymnasieskola",close-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
17Xf_MuM_vg2,Bilskadereparatör,http://data.europa.eu/esco/occupation/1a1ea837-0103-4230-8756-533a77c5f9f4,tunnplåtslagare,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1Cjx_ooE_HT9,Arkivutredare,http://data.europa.eu/esco/occupation/d8e502b4-1be6-4d10-a224-151688f8f0c8,lantmätare,close-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1Cjx_ooE_HT9,Arkivutredare,http://data.europa.eu/esco/occupation/e3b08984-19fe-4d51-a1b0-990676fc7234,arkivarie,close-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1DSQ_YqU_AMs,EU-handläggare,http://data.europa.eu/esco/occupation/1c85eee2-a8ca-4750-a889-10a3e6c17b80,förvaltare av EU-medel,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1DSQ_YqU_AMs,EU-handläggare,http://data.europa.eu/esco/occupation/caf7b8fb-b2d6-46b7-bffa-bea7f8e4aed8,"handläggare, offentlig förvaltning",broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1ERY_48v_Q6m,Administrativ chef,http://data.europa.eu/esco/occupation/3f6fc9db-18c1-45e8-819e-baf7b6cfe372,"administrativ chef, domstol",narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1ERY_48v_Q6m,Administrativ chef,http://data.europa.eu/esco/occupation/8b26eec6-7497-4218-8364-9b5983b04ae7,"administrativ chef, försvaret",narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1Kv4_35e_BX3,"Arbetsledare, ventilation",http://data.europa.eu/esco/occupation/0763c810-8ac6-4e39-867d-780a11af26e0,"arbetsledare, VVS",broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1Liw_W5W_n2z,Väskmakare,http://data.europa.eu/esco/occupation/24e9f120-eae8-411a-8daf-c48e8ae2f5f6,sadelmakare,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1Liw_W5W_n2z,Väskmakare,http://data.europa.eu/esco/occupation/3e0b4b9b-b624-4ceb-9bc9-9627cdfb0b81,"maskinoperatör, lädervaror",close-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1Liw_W5W_n2z,Väskmakare,http://data.europa.eu/esco/occupation/e666c384-2a14-4cd9-981f-7067dc0bb9a9,"sömmare, skinn",close-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1N2U_6xW_Tdx,Fotograf,http://data.europa.eu/esco/occupation/480d2853-db07-43d4-847f-7ffdd8d368f5,fotojournalist,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1N2U_6xW_Tdx,Fotograf,http://data.europa.eu/esco/occupation/66542dd6-05a6-4d9e-97ff-3f4858c31ff9,fotograf,exact-match,high,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1UTZ_bS9_kUD,Scrum master,http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,projektledare inom IKT,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
