source_type,source_code,nuts_code,nuts_label,source_url,source_version
kraj,Kraj/19,CZ010,Hlavní město Praha,https://data.mpsv.cz/od/soubory/ciselniky/kraje.json,2026-08-21
kraj,Kraj/27,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/kraje.json,2026-08-21
kraj,Kraj/35,CZ031,Jihočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/kraje.json,2026-08-21
kraj,Kraj/43,CZ032,Plzeňský kraj,https://data.mpsv.cz/od/soubory/ciselniky/kraje.json,2026-08-21
kraj,Kraj/51,CZ041,Karlovarský kraj,https://data.mpsv.cz/od/soubory/ciselniky/kraje.json,2026-08-21
kraj,Kraj/60,CZ042,Ústecký kraj,https://data.mpsv.cz/od/soubory/ciselniky/kraje.json,2026-08-21
kraj,Kraj/78,CZ051,Liberecký kraj,https://data.mpsv.cz/od/soubory/ciselniky/kraje.json,2026-08-21
kraj,Kraj/86,CZ052,Královéhradecký kraj,https://data.mpsv.cz/od/soubory/ciselniky/kraje.json,2026-08-21
kraj,Kraj/94,CZ053,Pardubický kraj,https://data.mpsv.cz/od/soubory/ciselniky/kraje.json,2026-08-21
kraj,Kraj/108,CZ063,Kraj Vysočina,https://data.mpsv.cz/od/soubory/ciselniky/kraje.json,2026-08-21
kraj,Kraj/116,CZ064,Jihomoravský kraj,https://data.mpsv.cz/od/soubory/ciselniky/kraje.json,2026-08-21
kraj,Kraj/124,CZ071,Olomoucký kraj,https://data.mpsv.cz/od/soubory/ciselniky/kraje.json,2026-08-21
kraj,Kraj/132,CZ080,Moravskoslezský kraj,https://data.mpsv.cz/od/soubory/ciselniky/kraje.json,2026-08-21
kraj,Kraj/141,CZ072,Zlínský kraj,https://data.mpsv.cz/od/soubory/ciselniky/kraje.json,2026-08-21
