source_type,source_code,nuts_code,nuts_label,source_url,source_version
obec,Obec/554782,CZ010,Hlavní město Praha,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/529303,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/532568,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/530743,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/532380,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/532096,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/532924,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/529451,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/532690,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/529478,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/529486,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/529516,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/529532,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/529541,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/529567,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/532746,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/529621,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/529648,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/532151,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/532843,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/529702,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/532932,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/529737,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/529745,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/532886,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/532878,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/532045,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/529770,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/529788,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/529796,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/532606,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/529818,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/532037,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/529842,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/529851,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/532134,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/531031,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/529907,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/533084,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/529931,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/529940,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/529958,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
obec,Obec/529974,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/obce.json,2026-08-21
