source_type,source_code,nuts_code,nuts_label,source_url,source_version
okres,Okres/9999,CZ010,Hlavní město Praha,https://data.mpsv.cz/od/soubory/ciselniky/okresy.json,2026-08-21
okres,Okres/3100,CZ010,Hlavní město Praha,https://data.mpsv.cz/od/soubory/ciselniky/okresy.json,2026-08-21
okres,Okres/3201,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/okresy.json,2026-08-21
okres,Okres/3202,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/okresy.json,2026-08-21
okres,Okres/3203,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/okresy.json,2026-08-21
okres,Okres/3204,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/okresy.json,2026-08-21
okres,Okres/3205,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/okresy.json,2026-08-21
okres,Okres/3206,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/okresy.json,2026-08-21
okres,Okres/3207,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/okresy.json,2026-08-21
okres,Okres/3208,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/okresy.json,2026-08-21
okres,Okres/3209,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/okresy.json,2026-08-21
okres,Okres/3210,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/okresy.json,2026-08-21
okres,Okres/3211,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/okresy.json,2026-08-21
okres,Okres/3212,CZ020,Středočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/okresy.json,2026-08-21
okres,Okres/3301,CZ031,Jihočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/okresy.json,2026-08-21
okres,Okres/3302,CZ031,Jihočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/okresy.json,2026-08-21
okres,Okres/3303,CZ031,Jihočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/okresy.json,2026-08-21
okres,Okres/3304,CZ063,Kraj Vysočina,https://data.mpsv.cz/od/soubory/ciselniky/okresy.json,2026-08-21
okres,Okres/3305,CZ031,Jihočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/okresy.json,2026-08-21
okres,Okres/3306,CZ031,Jihočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/okresy.json,2026-08-21
okres,Okres/3307,CZ031,Jihočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/okresy.json,2026-08-21
okres,Okres/3308,CZ031,Jihočeský kraj,https://data.mpsv.cz/od/soubory/ciselniky/okresy.json,2026-08-21
okres,Okres/3401,CZ032,Plzeňský kraj,https://data.mpsv.cz/od/soubory/ciselniky/okresy.json,2026-08-21
okres,Okres/3402,CZ041,Karlovarský kraj,https://data.mpsv.cz/od/soubory/ciselniky/okresy.json,2026-08-21
okres,Okres/3403,CZ041,Karlovarský kraj,https://data.mpsv.cz/od/soubory/ciselniky/okresy.json,2026-08-21
okres,Okres/3404,CZ032,Plzeňský kraj,https://data.mpsv.cz/od/soubory/ciselniky/okresy.json,2026-08-21
okres,Okres/3405,CZ032,Plzeňský kraj,https://data.mpsv.cz/od/soubory/ciselniky/okresy.json,2026-08-21
okres,Okres/3406,CZ032,Plzeňský kraj,https://data.mpsv.cz/od/soubory/ciselniky/okresy.json,2026-08-21
okres,Okres/3407,CZ032,Plzeňský kraj,https://data.mpsv.cz/od/soubory/ciselniky/okresy.json,2026-08-21
okres,Okres/3408,CZ032,Plzeňský kraj,https://data.mpsv.cz/od/soubory/ciselniky/okresy.json,2026-08-21
okres,Okres/3409,CZ041,Karlovarský kraj,https://data.mpsv.cz/od/soubory/ciselniky/okresy.json,2026-08-21
okres,Okres/3410,CZ032,Plzeňský kraj,https://data.mpsv.cz/od/soubory/ciselniky/okresy.json,2026-08-21
