source_type,source_code,nuts_code,nuts_label,source_url,source_version
fylke,agder,NO092,Agder,https://data.ssb.no/api/klass/v1/classifications/104/codesAt.json,2026-08-23
fylke,akershus,NO084,Akershus,https://data.ssb.no/api/klass/v1/classifications/104/codesAt.json,2026-08-23
fylke,buskerud,NO085,Buskerud,https://data.ssb.no/api/klass/v1/classifications/104/codesAt.json,2026-08-23
fylke,finnmark,NO073,Finnmark/Finnmárku/Finmarkku,https://data.ssb.no/api/klass/v1/classifications/104/codesAt.json,2026-08-23
fylke,innlandet,NO020,Innlandet,https://data.ssb.no/api/klass/v1/classifications/104/codesAt.json,2026-08-23
fylke,more og romsdal,NO0A3,Møre og Romsdal,https://data.ssb.no/api/klass/v1/classifications/104/codesAt.json,2026-08-23
fylke,nordland,NO071,Nordland/Nordlánnda,https://data.ssb.no/api/klass/v1/classifications/104/codesAt.json,2026-08-23
fylke,oslo,NO081,Oslo,https://data.ssb.no/api/klass/v1/classifications/104/codesAt.json,2026-08-23
fylke,ostfold,NO083,Østfold,https://data.ssb.no/api/klass/v1/classifications/104/codesAt.json,2026-08-23
fylke,rogaland,NO0A1,Rogaland,https://data.ssb.no/api/klass/v1/classifications/104/codesAt.json,2026-08-23
fylke,telemark,NO094,Telemark,https://data.ssb.no/api/klass/v1/classifications/104/codesAt.json,2026-08-23
fylke,troms,NO072,Troms/Romsa/Tromssa,https://data.ssb.no/api/klass/v1/classifications/104/codesAt.json,2026-08-23
fylke,trondelag,NO060,Trøndelag/Trööndelage,https://data.ssb.no/api/klass/v1/classifications/104/codesAt.json,2026-08-23
fylke,vestfold,NO093,Vestfold,https://data.ssb.no/api/klass/v1/classifications/104/codesAt.json,2026-08-23
fylke,vestland,NO0A2,Vestland,https://data.ssb.no/api/klass/v1/classifications/104/codesAt.json,2026-08-23
kommune,aarborte,NO071,Nordland/Nordlánnda,https://data.ssb.no/api/klass/v1/classifications/131/codesAt.json,2026-08-23
kommune,afjord,NO060,Trøndelag/Trööndelage,https://data.ssb.no/api/klass/v1/classifications/131/codesAt.json,2026-08-23
kommune,al,NO085,Buskerud,https://data.ssb.no/api/klass/v1/classifications/131/codesAt.json,2026-08-23
kommune,alesund,NO0A3,Møre og Romsdal,https://data.ssb.no/api/klass/v1/classifications/131/codesAt.json,2026-08-23
kommune,alstahaug,NO071,Nordland/Nordlánnda,https://data.ssb.no/api/klass/v1/classifications/131/codesAt.json,2026-08-23
kommune,alta,NO073,Finnmark/Finnmárku/Finmarkku,https://data.ssb.no/api/klass/v1/classifications/131/codesAt.json,2026-08-23
kommune,alvdal,NO020,Innlandet,https://data.ssb.no/api/klass/v1/classifications/131/codesAt.json,2026-08-23
kommune,alver,NO0A2,Vestland,https://data.ssb.no/api/klass/v1/classifications/131/codesAt.json,2026-08-23
kommune,amli,NO092,Agder,https://data.ssb.no/api/klass/v1/classifications/131/codesAt.json,2026-08-23
kommune,amot,NO020,Innlandet,https://data.ssb.no/api/klass/v1/classifications/131/codesAt.json,2026-08-23
kommune,andoy,NO071,Nordland/Nordlánnda,https://data.ssb.no/api/klass/v1/classifications/131/codesAt.json,2026-08-23
kommune,ardal,NO0A2,Vestland,https://data.ssb.no/api/klass/v1/classifications/131/codesAt.json,2026-08-23
